"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","UNIT","COUNTRY_UPDATE_DATE","PUBLICATION_DATE","UPDATE_DATE","METHODOLOGY","METHODOLOGY_NOTES","LATEST_ACTUAL_ANNUAL_DATA","HISTORICAL_DATA_SOURCE","BASE_YEAR","START_END_MONTHS_OF_REPORTING_YEAR","CHAIN_WEIGHTED","BASIS_OF_PROJECTIONS","VALUATION","PRICES_SECTOR_HARMONIZED_PRICES","LABOR_SECTOR_EMPLOYMENT_TYPE","FISCAL_SECTOR_GENERAL_GOVERNMENT_COMPOSITION","FISCAL_SECTOR_VALUATION_OF_DEBT","FISCAL_SECTOR_INSTRUMENTS_INCLUDED_IN_GROSS_AND_NET_DEBT","TRADE_SECTOR_OIL_COVERAGE","PRIMARY_DOMESTIC_CURRENCY","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031"
"IMF.RES:WEO(9.0.0)","G163.GGX_NGDP.A","OBS_VALUE","Euro Area (EA)","Expenditure, General government, Percent of GDP","Annual","Units","Percent","9/29/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","Government Finance Statistics Manual (GFSM) 2001","Historical data source: Eurostat","2024","Other","","January/December","","The fiscal projections are aggregations of country desk projections, which are based on unchanged policies plus any future policy measures that have been firmly agreed.","Accrual","","","Central Government; State Government; Local Government; Social Security Funds","Nominal value","","","Euro","","","","","","","","","","","","49.946","51.114","52.586","51.482","53.017","50.521","49.260","48.488","48.030","47.261","47.247","47.580","47.890","47.298","47.210","46.517","45.831","47.088","51.075","50.970","49.496","50.160","50.074","49.528","48.523","47.853","47.334","46.973","46.942","53.484","51.934","49.813","49.290","49.400","49.806","50.212","50.208","50.001","50.084","50.048","50.001"
"IMF.RES:WEO(9.0.0)","AND.PCPIEPCH.A","OBS_VALUE","Andorra, Principality of","All Items, Consumer price index (CPI), End-of-period (EoP), percent change","Annual","Units","Percent","9/10/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","","Data are monthly at the highest frequency.","2025","National Statistics Office","2021","","","","","No","","","","","","Euro","","","","","","","","","","","","","","","","","","","","","","","3.065","2.764","3.317","3.272","3.012","4.078","0.884","0.999","1.703","2.161","1.057","0.178","-0.867","-0.527","0.943","2.371","0.502","0.948","-0.546","3.281","7.151","4.562","2.607","2.687","2.500","2.000","2.000","2.000","2.000","2.000"
"IMF.RES:WEO(9.0.0)","FIN.GGSB_NPGDP.A","OBS_VALUE","Finland","Structural balance, General government, Percent","Annual","Units","Percent","9/15/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","Government Finance Statistics Manual (GFSM) 2014","Latest actual data: The Finnish authorities do not provide data on policy lending (GGAAFPL_T). Valuation of debt: Nominal Value debt valuation is consistent with Eurostat's definition. Instruments included in gross and net debt: Data reported are based on the Maastricht definition. It covers all general governments in the sense of the national accounts: the State, other government bodies (ODAC), local governments and social security administrations. It does not include all financial liabilities but only cash and deposits, securities other than shares as well as loans; excluded are derivative products and other accounts payable.","2024","Ministry of Finance or Treasury","","January/December","","Based on announced policies by the authorities, adjusted for the Staff macroeconomic scenario.","Accrual","","","Central Government; Local Government; Social Security Funds","Nominal value","Currency and Deposits; Loans; Securities Other than Shares","","Euro","-2.252","0.725","-0.386","-2.332","-0.710","-0.741","-0.195","-2.867","-0.397","-0.262","2.419","-0.394","-1.797","-2.790","-2.646","-3.223","-1.074","-0.988","0.906","0.603","5.002","3.678","3.601","2.535","1.852","2.140","2.497","2.033","1.286","-0.381","-1.810","-1.378","-1.509","-1.077","-1.031","-0.445","-0.907","-1.614","-1.912","-2.418","-4.580","-3.331","-1.296","-2.418","-3.400","-2.658","-4.047","-4.114","-4.235","-4.192","-4.198","-4.363"
"IMF.RES:WEO(9.0.0)","AND.NGDPRPPPPC.A","OBS_VALUE","Andorra, Principality of","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021","Annual","Units","","9/10/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","Other","","2025","National Statistics Office","2010","January/December","No","","","","","","","","","Euro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66922.092","67413.494","64072.904","61616.133","62618.715","62487.835","63588.799","62367.929","62208.524","62344.412","55036.844","58458.650","62438.303","61407.364","62309.593","63256.030","63104.327","62792.677","62396.670","61942.195","61430.507","60923.046"
"IMF.RES:WEO(9.0.0)","JPN.BCA_NGDPD.A","OBS_VALUE","Japan","Current account balance (credit less debit), Percent of GDP","Annual","Units","Percent","9/26/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","Balance of Payments and International Investment Position Manual, sixth edition (BPM6)","Historical data source: Bank of Japan/ Ministry of Finance via Haver Analytics.","2025","Ministry of Finance or Treasury","","","","","","","","","","","","Japanese yen","-0.931","0.374","0.578","1.600","2.543","3.438","3.898","3.192","2.476","1.985","1.372","1.825","2.760","2.843","2.558","1.958","1.372","2.077","2.774","2.437","2.590","1.942","2.571","3.049","3.684","3.489","3.754","4.588","2.763","2.721","3.804","2.068","0.942","0.872","0.738","3.009","3.870","4.040","3.450","3.362","2.889","3.754","2.021","3.563","4.515","4.829","3.801","3.865","3.926","3.922","4.089","4.052"
"IMF.RES:WEO(9.0.0)","CAN.PCPIE.A","OBS_VALUE","Canada","All Items, Consumer price index (CPI), End-of-period (EoP)","Annual","Units","Index","9/25/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","","","2025","National Statistics Office","2002","","","","","No","","","","","","Canadian dollar","45.867","51.533","56.500","59.133","61.300","63.833","66.633","69.433","72.271","76.031","79.769","83.049","84.533","86.067","86.100","87.867","89.667","90.567","91.600","93.767","96.700","97.733","101.467","103.200","105.567","108.000","109.500","112.233","114.300","115.200","117.767","120.900","122.100","123.267","125.700","127.300","129.100","131.467","134.167","136.933","138.000","144.533","154.067","158.967","162.000","165.633","169.822","173.276","176.763","180.135","183.725","187.387"
"IMF.RES:WEO(9.0.0)","CAN.NGAP_NPGDP.A","OBS_VALUE","Canada","Output gap, Percent of potential GDP","Annual","Units","Percent","9/25/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","System of National Accounts (SNA) 2008","Data rebased to 2017","2025","National Statistics Office","2017","January/December","Yes, from 1980","","","","","","","","","Canadian dollar","1.102","2.144","-3.538","-3.569","-0.846","0.527","-0.532","0.606","2.500","2.899","1.258","-1.507","-2.227","-1.768","0.302","0.200","-1.354","-0.634","-0.468","0.865","2.300","0.657","0.489","-0.566","-0.058","0.863","1.514","1.851","1.285","-3.211","-1.754","-0.354","-0.407","0.041","1.018","-0.147","-0.949","0.374","0.553","0.358","-3.357","-1.434","0.763","-0.036","-0.677","-0.923","-0.800","-0.617","-0.343","-0.187","-0.032","-0.006"
"IMF.RES:WEO(9.0.0)","CAN.GGXCNL.A","OBS_VALUE","Canada","Net lending (+) / net borrowing (-), General government, Domestic currency","Annual","Billions","Domestic currency","9/25/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","Government Finance Statistics Manual (GFSM) 2001","Preliminary data: based on quarterly data. Fiscal data are on a calendar year basis. Canada's net debt corresponds to net financial liabilities as reported by Statistics Canada and includes equity and investment fund shares, which Canada has built up substantially. Statistics Canada made a methodological change in late 2022 to value assets at market value instead of book value, which has decreased net debt. Historical data source: Some historical data is also from National Statistics Office. Instruments included in gross and net debt: Gross debt includes debt securities, loans, life insurance and pension, and other accounts payable but excludes unfunded pension liabilities. Net debt is estimated as gross debt minus financial assets which include currency and deposits, debt securities, loans, equity and investment fund shares, and accounts receivable.","2024","Ministry of Finance or Treasury","","January/December","","Projections use the baseline forecasts from Budget 2025 and the latest provincial budget updates. IMF staff make some adjustments to these forecasts, including those for differences in macroeconomic projections. IMF staff’s forecast also incorporates the most recent data releases from Statistics Canada’s National Economic Accounts, including quarterly federal, provincial, and territorial budgetary outturns.","Accrual","","","Central Government; State Government; Local Government; Social Security Funds","Face value","Loans; Securities Other than Shares","","Canadian dollar","-13.052","-10.654","-26.778","-33.697","-36.681","-43.789","-38.558","-33.000","-28.279","-31.687","-41.114","-58.664","-66.090","-66.746","-54.931","-45.653","-26.247","0.351","1.342","16.687","29.197","6.060","-2.792","-1.593","10.254","22.079","27.352","28.708","3.056","-60.989","-78.930","-58.699","-46.128","-28.433","3.489","-1.231","-9.179","-2.407","8.046","-0.400","-243.127","-77.523","17.662","-4.816","-65.950","-57.263","-91.334","-88.944","-82.052","-76.429","-69.094","-63.058"
"IMF.RES:WEO(9.0.0)","CHE.GGXONLB.A","OBS_VALUE","Switzerland","Primary net lending (+) / net borrowing (-), General government, Domestic currency","Annual","Billions","Domestic currency","9/24/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","Government Finance Statistics Manual (GFSM) 2001","General government composition: Other refers to Cantons.","2025","Ministry of Finance or Treasury","","January/December","","The projections assume that fiscal policy is adjusted as necessary to keep fiscal balances in line with the requirements of Switzerland s fiscal rules.","Accrual","","","Central Government; State Government; Local Government; Social Security Funds","Nominal value","","","Swiss franc","","","","2.162","2.908","3.657","6.786","6.892","6.561","6.491","1.393","-5.287","-9.096","-9.985","-7.497","-4.469","-5.234","-6.368","-1.638","-2.133","5.991","5.371","-3.758","-2.270","-2.598","1.179","9.112","12.552","15.031","5.975","5.164","6.856","3.887","-1.147","-0.062","5.196","2.811","8.728","9.789","9.998","-20.518","-1.162","10.182","1.866","5.686","5.014","2.967","3.855","3.311","2.993","2.471","2.441"
"IMF.RES:WEO(9.0.0)","LIE.PCPIPCH.A","OBS_VALUE","Liechtenstein, Principality of","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","Percent","9/29/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","","Liechtenstein does not compile own price indices. The GDP deflator is based on data from Switzerland and inflation uses Switzerland numbers.","2025","National Statistics Office","2020","","","","","Yes","","","","","","Swiss franc","","","","","","","","","","","","","","","","","","","","","","0.991","0.641","0.636","0.801","1.173","1.064","0.735","2.428","-0.480","0.688","0.228","-0.693","-0.216","-0.012","-1.142","-0.434","0.535","0.935","0.363","-0.724","0.583","2.834","2.135","1.060","0.156","0.456","0.650","0.717","0.711","0.709","0.700"
"IMF.RES:WEO(9.0.0)","LIE.GGX.A","OBS_VALUE","Liechtenstein, Principality of","Expenditure, General government, Domestic currency","Annual","Billions","Domestic currency","9/29/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","Government Finance Statistics Manual (GFSM) 2014","Liechtenstein has virtually zero public debt.","2023","National Statistics Office","","January/December","","Authority medium-term budget framework and staff analysis of latest developments.","Accrual","","","State Government","","","","Swiss franc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.603","1.884","1.599","1.492","1.465","1.493","1.523","1.551","1.572","1.884","1.678","1.697","1.781","1.939","1.921","1.908","1.953","2.004","2.049","2.094","2.140"
"IMF.RES:WEO(9.0.0)","CAN.NGSD_NGDP.A","OBS_VALUE","Canada","Gross national savings, Percent of GDP","Annual","Units","Percent","9/25/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","System of National Accounts (SNA) 2008","Data rebased to 2017","2025","National Statistics Office","2017","January/December","Yes, from 1980","","","","","","","","","Canadian dollar","20.202","21.113","20.407","19.381","20.501","19.872","18.618","18.953","20.443","19.652","17.870","15.609","14.768","14.636","17.138","18.555","19.341","19.877","19.704","20.861","23.161","21.885","21.471","21.699","23.729","24.561","25.038","24.732","24.221","19.050","19.918","21.438","21.337","21.766","22.551","20.326","19.673","20.748","21.000","21.089","20.658","24.286","24.569","22.949","22.687","22.217","22.844","22.711","22.771","22.975","23.233","23.472"
"IMF.RES:WEO(9.0.0)","CAN.NGDPRPC.A","OBS_VALUE","Canada","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency","Annual","Units","Domestic currency","9/25/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","System of National Accounts (SNA) 2008","Data rebased to 2017","2025","National Statistics Office","2017","January/December","Yes, from 1980","","","","","","","","","Canadian dollar","36526.988","37327.825","35715.972","36265.306","38042.893","39480.237","39924.505","41030.213","42273.727","42525.121","41967.669","40569.264","40443.467","41044.040","42431.554","43118.655","43391.882","44798.118","46146.064","48129.904","50140.183","50546.173","51502.492","51945.068","53051.934","54239.018","55111.268","55694.185","55654.172","53416.072","54455.247","55608.417","55987.890","56688.108","57728.737","57636.159","57627.296","58656.795","59427.109","59680.961","56013.976","58994.614","60734.401","60272.270","59738.325","60072.614","61008.340","62129.305","62961.038","63621.659","64163.593","64766.283"
"IMF.RES:WEO(9.0.0)","LIE.NGDP.A","OBS_VALUE","Liechtenstein, Principality of","Gross domestic product (GDP), Current prices, Domestic currency","Annual","Billions","Domestic currency","9/29/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","European System of Accounts (ESA) 2010","GDP numbers from 1998 to 2013 are based on ESA 1995 while from 2014, they are based on ESA 2010.","2023","National Statistics Office","2013","January/December","No","","","","","","","","","Swiss franc","1.132","1.178","1.259","1.321","1.470","1.652","1.790","1.868","2.098","2.342","2.406","2.686","2.821","2.931","3.030","3.144","3.314","3.670","3.923","4.379","4.592","4.598","4.561","4.491","4.674","4.968","5.474","6.047","6.012","5.322","5.774","5.539","5.540","5.815","5.985","5.923","6.029","6.277","6.545","6.396","6.014","7.231","7.091","7.403","7.453","7.475","7.482","7.550","7.686","7.856","8.030","8.207"
"IMF.RES:WEO(9.0.0)","CHE.GGX_NGDP.A","OBS_VALUE","Switzerland","Expenditure, General government, Percent of GDP","Annual","Units","Percent","9/24/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","Government Finance Statistics Manual (GFSM) 2001","General government composition: Other refers to Cantons.","2025","Ministry of Finance or Treasury","","January/December","","The projections assume that fiscal policy is adjusted as necessary to keep fiscal balances in line with the requirements of Switzerland s fiscal rules.","Accrual","","","Central Government; State Government; Local Government; Social Security Funds","Nominal value","","","Swiss franc","","","","28.546","28.112","27.653","27.559","27.380","27.881","27.302","27.223","29.027","30.827","31.950","32.000","31.970","32.462","32.480","32.298","32.786","31.874","31.202","33.590","32.827","32.627","31.911","30.068","28.952","29.570","31.217","30.864","30.957","31.120","31.969","31.544","31.923","31.937","31.917","31.083","31.316","36.297","33.384","30.458","30.940","31.303","31.222","31.455","31.352","31.411","31.442","31.494","31.494"
"IMF.RES:WEO(9.0.0)","CAN.NGDP_RPCH.A","OBS_VALUE","Canada","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","Percent","9/25/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","System of National Accounts (SNA) 2008","Data rebased to 2017","2025","National Statistics Office","2017","January/December","Yes, from 1980","","","","","","","","","Canadian dollar","2.163","3.503","-3.166","2.562","5.899","4.738","2.121","4.072","4.411","2.337","0.203","-2.091","0.890","2.658","4.494","2.682","1.689","4.280","3.893","5.141","5.139","1.875","2.999","1.806","3.092","3.210","2.638","2.050","0.995","-2.915","3.091","3.137","1.756","2.326","2.873","0.650","1.039","3.034","2.743","1.908","-5.038","5.951","4.695","1.953","2.046","1.743","1.500","1.896","1.655","1.728","1.665","1.754"
"IMF.RES:WEO(9.0.0)","CAN.NID_NGDP.A","OBS_VALUE","Canada","Gross capital formation, Percent of GDP","Annual","Units","Percent","9/25/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","System of National Accounts (SNA) 2008","Data rebased to 2017","2025","National Statistics Office","2017","January/December","Yes, from 1980","","","","","","","","","Canadian dollar","22.386","25.296","19.924","20.221","20.960","21.534","21.680","22.178","23.506","23.610","21.304","19.341","18.377","18.475","19.516","19.380","18.928","21.217","21.045","20.684","20.614","19.671","19.739","20.467","21.383","22.632","23.595","23.908","24.072","21.959","23.482","24.151","24.868","24.908","24.871","23.822","22.761","23.550","23.377","23.042","22.675","24.305","25.027","23.638","23.168","23.154","23.060","23.060","23.175","23.278","23.390","23.494"
"IMF.RES:WEO(9.0.0)","LIE.NGDP_FY.A","OBS_VALUE","Liechtenstein, Principality of","Gross domestic product (GDP), Current prices, Fiscal year, Domestic currency","Annual","Billions","Domestic currency","9/29/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","European System of Accounts (ESA) 2010","GDP numbers from 1998 to 2013 are based on ESA 1995 while from 2014, they are based on ESA 2010.","2023","National Statistics Office","2013","January/December","No","","","","","","","","","Swiss franc","","","","","","","","","","","","","","","","","","","","","4.592","4.598","4.561","4.491","4.674","4.968","5.474","6.047","6.012","5.322","5.774","5.539","5.540","5.815","5.985","5.923","6.029","6.277","6.545","6.396","6.014","7.231","7.091","7.403","7.453","7.475","7.482","7.550","7.686","7.856","8.030","8.207"
"IMF.RES:WEO(9.0.0)","LIE.NGDPRPC.A","OBS_VALUE","Liechtenstein, Principality of","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency","Annual","Units","Domestic currency","9/29/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","European System of Accounts (ESA) 2010","GDP numbers from 1998 to 2013 are based on ESA 1995 while from 2014, they are based on ESA 2010.","2023","National Statistics Office","2013","January/December","No","","","","","","","","","Swiss franc","","","","","","","","","","","","","","","","","","","","","160844.544","156155.256","154068.401","148039.977","152064.311","158684.293","169955.467","182243.886","177599.597","155126.929","166367.714","158015.444","156174.537","162667.738","167394.693","166762.589","169929.839","176119.744","181000.373","175375.075","164844.350","193186.844","182140.175","186792.320","182281.171","180645.786","178308.972","177416.061","177934.215","178982.897","180037.759","181098.838"
"IMF.RES:WEO(9.0.0)","CHE.NGDP.A","OBS_VALUE","Switzerland","Gross domestic product (GDP), Current prices, Domestic currency","Annual","Billions","Domestic currency","9/24/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","European System of Accounts (ESA) 2010","Quarterly national accounts data are the responsibility of the State Secretariat for Economic Affairs (SECO)","2025","National Statistics Office","2020","January/December","Yes, from 1980","","","","","","","","","Swiss franc","208.313","223.846","237.053","244.228","260.886","276.958","290.633","301.633","319.871","345.668","374.899","391.583","399.283","408.280","418.393","423.629","427.029","433.770","444.783","453.205","476.900","489.964","489.582","493.675","508.237","528.484","562.348","599.396","622.260","613.010","635.630","645.676","654.722","666.617","679.037","679.307","688.349","696.073","724.832","732.215","709.465","767.707","819.576","834.418","854.195","867.557","883.198","899.748","922.113","940.206","964.543","983.551"
"IMF.RES:WEO(9.0.0)","CHE.NGDP_D.A","OBS_VALUE","Switzerland","Gross domestic product (GDP), Price deflator, Index","Annual","Units","Index","9/24/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","European System of Accounts (ESA) 2010","Quarterly national accounts data are the responsibility of the State Secretariat for Economic Affairs (SECO)","2025","National Statistics Office","2020","January/December","Yes, from 1980","","","","","","","","","Swiss franc","56.671","59.901","64.291","65.821","68.271","69.852","71.979","73.545","75.583","78.217","81.812","86.234","88.050","90.110","91.189","91.854","92.068","91.627","91.455","91.677","93.001","94.016","93.586","94.689","95.097","96.002","98.043","100.466","101.824","102.310","102.768","102.877","103.084","103.053","102.431","101.058","100.441","100.106","100.857","100.766","100.000","101.924","105.035","106.009","107.035","107.344","107.832","108.395","109.093","109.888","110.701","111.516"
"IMF.RES:WEO(9.0.0)","JPN.GGX.A","OBS_VALUE","Japan","Expenditure, General government, Domestic currency","Annual","Billions","Domestic currency","9/26/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","Government Finance Statistics Manual (GFSM) 2014","Latest actual data: Authorities release fiscal data with a 10 month delay. Historical data source: Cabinet Office of Japan via Haver Analytics. General government composition: Government in Japan consists of 3 layers: central, prefectural, and municipal. The latter two government levels are covered under local government. There is no government at the state level in Japan. Valuation of debt: Gross public debt is on unconsolidated basis.","2024","Other","","January/December","","The projections reflect fiscal measures the government has already announced, with adjustments for the IMF staff's assumptions.","Accrual","","","Central Government; Local Government; Social Security Funds","Current market value","Currency and Deposits; Insurance Technical Reserves; Monetary Gold and SDRs; Other Accounts Receivable/Payable; Loans; Securities Other than Shares","","Japanese yen","78715.200","86529.500","91579.200","96105.600","99735.500","103498.700","108601.100","114369.600","119747.200","125220.300","135893.200","143978.600","152727.800","162132.800","167499.200","174250.500","180948.400","179716.600","207250.300","187816.900","192489.100","187112.500","185632.300","183597.300","178295.400","178505.700","176916.700","178634.600","180004.300","191442.600","191024.500","192615.100","193850.400","197652.100","199494.400","200792.300","202826.800","202862.400","204633.300","208284.500","241371.600","237169.400","235178.805","232708.310","236636.186","244645.194","254880.589","265481.243","276163.827","286013.876","297274.818","308115.128"
"IMF.RES:WEO(9.0.0)","LIE.PPPSH.A","OBS_VALUE","Liechtenstein, Principality of","Gross domestic product (GDP), Purchasing power parity (PPP) international dollar, percent of world GDP, Percent, ICP benchmarks 2017-2021","Annual","Units","Percent","9/29/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.006","0.006","0.006","0.005","0.005","0.005","0.005","0.006","0.005","0.005","0.005","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.003","0.003","0.003","0.003"
"IMF.RES:WEO(9.0.0)","CAN.BCA_NGDPD.A","OBS_VALUE","Canada","Current account balance (credit less debit), Percent of GDP","Annual","Units","Percent","9/25/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","Balance of Payments and International Investment Position Manual, sixth edition (BPM6)","","2025","National Statistics Office","","","","","","","","","","","","Canadian dollar","-2.205","-4.180","0.485","-0.838","-0.457","-1.659","-3.060","-3.223","-3.060","-3.956","-3.432","-3.729","-3.607","-3.837","-2.376","-0.823","0.415","-1.337","-1.338","0.179","2.550","2.213","1.735","1.231","2.345","1.927","1.445","0.823","0.147","-2.909","-3.562","-2.712","-3.534","-3.141","-2.320","-3.495","-3.088","-2.803","-2.377","-1.953","-2.017","-0.019","-0.458","-0.689","-0.482","-0.937","-0.216","-0.349","-0.404","-0.302","-0.157","-0.022"
"IMF.RES:WEO(9.0.0)","LIE.GGR_NGDP.A","OBS_VALUE","Liechtenstein, Principality of","Revenue, General government, Percent of GDP","Annual","Units","Percent","9/29/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","Government Finance Statistics Manual (GFSM) 2014","Liechtenstein has virtually zero public debt.","2023","National Statistics Office","","January/December","","Authority medium-term budget framework and staff analysis of latest developments.","Accrual","","","State Government","","","","Swiss franc","","","","","","","","","","","","","","","","","","","","","20.895","21.595","21.011","20.322","19.455","19.570","19.213","19.099","20.357","21.612","20.173","30.893","31.529","26.237","27.081","28.363","27.769","27.046","26.525","28.180","38.723","25.643","27.209","28.456","29.025","28.500","28.500","29.070","29.379","29.379","29.379","29.379"
"IMF.RES:WEO(9.0.0)","LIE.GGXCNL_NGDP.A","OBS_VALUE","Liechtenstein, Principality of","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","Percent","9/29/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","Government Finance Statistics Manual (GFSM) 2014","Liechtenstein has virtually zero public debt.","2023","National Statistics Office","","January/December","","Authority medium-term budget framework and staff analysis of latest developments.","Accrual","","","State Government","","","","Swiss franc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.958","-2.473","-1.264","2.153","3.622","3.010","2.782","2.822","3.599","7.394","2.433","3.277","4.396","3.001","2.801","3.001","3.201","3.301","3.301","3.301","3.301"
"IMF.RES:WEO(9.0.0)","LIE.PPPGDP.A","OBS_VALUE","Liechtenstein, Principality of","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","","9/29/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.027","3.065","3.102","3.078","3.276","3.557","3.956","4.381","4.380","3.882","4.244","4.151","4.221","4.507","4.748","4.807","4.970","5.285","5.552","5.642","5.444","6.910","7.044","7.555","7.720","7.939","8.133","8.345","8.584","8.868","9.166","9.471"
"IMF.RES:WEO(9.0.0)","CAN.GGSB_NPGDP.A","OBS_VALUE","Canada","Structural balance, General government, Percent","Annual","Units","Percent","9/25/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","Government Finance Statistics Manual (GFSM) 2001","Preliminary data: based on quarterly data. Fiscal data are on a calendar year basis. Canada's net debt corresponds to net financial liabilities as reported by Statistics Canada and includes equity and investment fund shares, which Canada has built up substantially. Statistics Canada made a methodological change in late 2022 to value assets at market value instead of book value, which has decreased net debt. Historical data source: Some historical data is also from National Statistics Office. Instruments included in gross and net debt: Gross debt includes debt securities, loans, life insurance and pension, and other accounts payable but excludes unfunded pension liabilities. Net debt is estimated as gross debt minus financial assets which include currency and deposits, debt securities, loans, equity and investment fund shares, and accounts receivable.","2024","Ministry of Finance or Treasury","","January/December","","Projections use the baseline forecasts from Budget 2025 and the latest provincial budget updates. IMF staff make some adjustments to these forecasts, including those for differences in macroeconomic projections. IMF staff’s forecast also incorporates the most recent data releases from Statistics Canada’s National Economic Accounts, including quarterly federal, provincial, and territorial budgetary outturns.","Accrual","","","Central Government; State Government; Local Government; Social Security Funds","Face value","Loans; Securities Other than Shares","","Canadian dollar","-4.154","-12.843","-5.295","-6.368","-7.557","-8.998","-7.080","-6.014","-5.602","-5.996","-7.408","-7.579","-7.915","-7.783","-7.100","-5.656","-2.267","0.409","0.376","1.151","1.359","0.123","-0.465","0.169","0.784","1.101","1.040","0.841","-0.522","-2.042","-3.699","-3.069","-2.285","-1.495","-0.558","0.019","0.050","-0.314","0.046","-0.230","-8.220","-2.017","0.101","-0.228","-0.815","-1.172","-2.176","-2.121","-2.004","-1.872","-1.711","-1.520"
"IMF.RES:WEO(9.0.0)","CHE.PCPIEPCH.A","OBS_VALUE","Switzerland","All Items, Consumer price index (CPI), End-of-period (EoP), percent change","Annual","Units","Percent","9/24/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","","December 2025 = 100","2025","National Statistics Office","2025","","","","","No","","","","","","Swiss franc","4.426","6.570","5.424","2.095","2.882","3.187","0.019","1.865","1.970","5.040","5.323","5.256","3.454","2.485","0.416","1.915","0.752","0.348","-0.194","1.643","1.489","0.332","0.880","0.560","1.289","0.975","0.629","2.022","0.719","0.296","0.535","-0.585","-0.435","0.082","-0.307","-1.274","0.025","0.876","0.721","0.187","-0.786","1.561","2.867","1.737","0.641","0.068","0.606","0.650","0.683","0.720","0.700","0.700"
"IMF.RES:WEO(9.0.0)","LIE.GGXCNL.A","OBS_VALUE","Liechtenstein, Principality of","Net lending (+) / net borrowing (-), General government, Domestic currency","Annual","Billions","Domestic currency","9/29/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","Government Finance Statistics Manual (GFSM) 2014","Liechtenstein has virtually zero public debt.","2023","National Statistics Office","","January/December","","Authority medium-term budget framework and staff analysis of latest developments.","Accrual","","","State Government","","","","Swiss franc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.108","-0.137","-0.074","0.129","0.214","0.181","0.175","0.185","0.230","0.445","0.176","0.232","0.325","0.224","0.209","0.225","0.242","0.254","0.259","0.265","0.271"
